@relation classification
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {Good,Bad,}
@data
0.409568,0.196069,209.562821,0.281421,Good
0.452681,0.196069,209.562821,0.241218,Good
0.452681,0.249542,172.972487,0.281421,Good
0.452681,0.202010,149.687730,0.281421,Good
0.413161,0.178244,209.562821,0.281421,Good
0.242508,0.249542,209.562821,0.201015,Good
0.242508,0.249542,209.562821,0.281421,Good
0.242508,0.249542,209.562821,0.281421,Good
0.242508,0.249542,209.562821,0.221116,Good
0.373641,0.249542,164.656503,0.281421,Good
0.452681,0.249542,159.666912,0.281421,Good
0.242508,0.249542,209.562821,0.281421,Good
0.242508,0.249542,209.562821,0.281421,Good
0.242508,0.249542,164.656503,0.281421,Good
0.242508,0.249542,209.562821,0.281421,Good
0.242508,0.249542,209.562821,0.281421,Good
0.242508,0.249542,209.562821,0.232284,Good
0.452681,0.178244,209.562821,0.241218,Good
0.452681,0.196069,209.562821,0.214416,Good
